,topic,document
584,5,"Battery life was great, worked great for a while, but it will not charge. First time I went to charge it, I plug it into my laptop and a power brick, it lights up for 3 seconds, then shuts off. Now it won't turn on at all. Sadly, I would love to give this product more stars, but now this is useless and I can't even use it while it's plugged in."
585,1,"Great to use, quite clicks, and looks very cool!"
586,1,"This mouse is slimmer than others, since I have a small hand, it is very comfortable to use.Great buy !!"
587,3,Super cute! But it is really slow.
588,-1,this is an update to my last review.  It has been 4 months and it stopped working!I bought this because of the price and color.Next time I will go with a more reputable company....
589,1,The c type adapter doesnt work.
590,1,"Nothing wrong with this mouse, does the job. I use with new laptop."
591,-1,"Simple book up and very responsive. Sturdy construction, beautiful light display and worth every penny. Just as good, if not better, than the more expensive brands."
592,4,Worked well for a few months now scroll doesn't work
593,1,"The mouse is ergonomic, very easy to use. The price is not bad either all in all good purchase."
594,1," I LOVE this mouse! It’s super cute and lightweight, I love the led lights option. Paired perfectly with my MacBook"
595,1,"I ordered this in early June and really enjoyed the fun color and sleek design.  However now, in late July, about 1 1/2 months later first the USB transmitter broke off and got stuck in my laptop and then the mouse itself stopped charging and no longer works.  I guess you get what you pay for.  Look elsewhere!"
596,3,It works great.  Like the color.
597,-1,"People are right this is a rip off. Waste of money , it only worked for a week. Wow"
598,1,This mouse absolutely sucks. I've tried charging it and the blue light appears then after 2 minutes it goes out. I plugged it in at 11 a.m. and 3 hours later it's still dead. And they sent it to me again and it keeps happening. It doesn't charge and it doesn't work it's just cheap plastic don't get it.
599,20,"Battery doesn't last long and sleep mode is annoying so I tossed it. Without warning, it will just quit on you. Going back to battery brand."
600,1,This mouse is of great quality
601,-1,I use for work it is needing to be charged almost every 3-4 days.
602,-1,"Cheap for a reason, doesnt work after 2 months. I guess that is why the return policy is just 30 days. Do not waste your time on this item. Complete garbage."
603,1,Purchased May 4th and USB broke apart by July 15th - save your money.
604,-1,i am sick with stage 4 melonoma so i just opened it.  it jiggles.  junk
605,5,This item came broken. We tried charging it over night but it never worked. Had to return it
606,5,It never would charge?
607,27,Right button defective after 1 month usage.
608,-1,Working great. Plugged in or wireless I have no problem so far
609,1,This mouse is very quiet when you click and is ergonomically comfortable.
610,3,Works well special features are fun
611,1,"Bought this mouse, because when my other one died, I remember having to change my battery at least once a month. After getting this, originally charged, and has kept the charge for almost a month now, and just had to recharge for the 1st time. Charged overnight, and working great again. LOVE THIS!!!! small, quiet mouse, easy to hold with a rubberized texture that keeps it from slipping."
612,1,"If you want to have to charge a mouse more than use it, this product is for you. I had moderate hopes, but this mouse falls short of even those"
613,1,"Yeah, this thing is pretty great honestly. It works really well and is completely silent which I really like at work. I don’t like to be constantly clicking all the time. The rubberized feel is also very satisfying, and I mean very satisfying. Overall, you really can’t go wrong here for the price."
